"uuid","index_key","reference_key","timestamp","update_by","table_name","log_id","change_log"
"7C32587C-5965-48BF-9763-CF7F3D3D25F4","39","LT-000000039","2025-06-17 15:24:50.440","Garrett Aposhian","order_detail","DA77BF24-69CB-46BB-96D9-698D2E634209","{""index_key"":18,""insert_date"":""2025-06-17T15:24:50.440"",""update_date"":""2025-06-17T15:18:00"",""update_by"":""Garrett Aposhian"",""sales_order_key"":""SO-000203"",""vendor"":""Aruze"",""cabinet"":""Muso 55"",""theme"":""TTP2"",""price"":20000,""quantity"":6}"
"59274265-AF42-45F9-A96A-7C53EDC1065A","33","LT-000000033","2025-06-17 15:17:57.246","Garrett Aposhian","order_detail","98C873EC-470F-46F0-989F-7CC423F41357","{""before_values"":""{\""uuid\"":\""98C873EC-470F-46F0-989F-7CC423F41357\"",\""index_key\"":17,\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Updated on 2025-06-17 15:17:57 Log key: (LT-000000032)\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}"",""after_values"":""{\""uuid\"":\""98C873EC-470F-46F0-989F-7CC423F41357\"",\""index_key\"":17,\""reference_key\"":\""DT-0000017\"",\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Created on 2025-06-17 15:17:57\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}""}"
"D5884E28-EBCF-4E3B-AACE-6B15144083F1","34","LT-000000034","2025-06-17 15:17:57.246","Garrett Aposhian","order_detail","FAF156DA-8E72-4523-9699-D1F8DE9B1A0C","{""index_key"":17,""insert_date"":""2025-06-17T15:17:57.243"",""update_date"":""2025-06-17T15:17:43"",""update_by"":""Garrett Aposhian"",""sales_order_key"":""SO-000203"",""vendor"":""AGS"",""cabinet"":""Stuff"",""theme"":""STUFF2"",""price"":20000,""quantity"":5}"
"C829310B-1E6E-4584-8E8D-9956BFFEDCE1","38","LT-000000038","2025-06-17 15:24:50.440","Garrett Aposhian","order_detail","E05B1F53-33AE-4D09-A7A5-57EA7872FCBE","{""before_values"":""{\""uuid\"":\""E05B1F53-33AE-4D09-A7A5-57EA7872FCBE\"",\""index_key\"":18,\""insert_date\"":\""2025-06-17T15:24:50.440\"",\""update_date\"":\""2025-06-17T15:18:00\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Updated on 2025-06-17 15:24:50 Log key: (LT-000000037)\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Muso 55\"",\""theme\"":\""TTP2\"",\""price\"":20000,\""quantity\"":6}"",""after_values"":""{\""uuid\"":\""E05B1F53-33AE-4D09-A7A5-57EA7872FCBE\"",\""index_key\"":18,\""reference_key\"":\""DT-0000018\"",\""insert_date\"":\""2025-06-17T15:24:50.440\"",\""update_date\"":\""2025-06-17T15:18:00\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Created on 2025-06-17 15:24:50\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Muso 55\"",\""theme\"":\""TTP2\"",\""price\"":20000,\""quantity\"":6}""}"
"1EB6B4A6-CC32-47D6-90EC-22F77DC01673","40","LT-000000040","2025-06-17 16:43:28.310","Paul Collins","sales_order","DF4AED0E-4F4B-4BF0-8DD8-AE748663A97B","{""before_values"":""{\""uuid\"":\""DF4AED0E-4F4B-4BF0-8DD8-AE748663A97B\"",\""index_key\"":204,\""reference_key\"":\""SO-000204\"",\""insert_date\"":\""2025-06-17T15:28:48\"",\""update_date\"":\""2025-06-17T15:28:54.483\"",\""update_by\"":\""Garrett Aposhian\"",\""event_type\"":\""Sales Order\"",\""status\"":\""creating\"",\""casino_name\"":\""Thunderbird Casino: Shawnee\"",\""casino_id\"":\""CT-038\"",\""employee_full_name\"":\""Chad Flowers\"",\""employee_id\"":\""EMP-000005\""}"",""after_values"":""{\""uuid\"":\""DF4AED0E-4F4B-4BF0-8DD8-AE748663A97B\"",\""index_key\"":204,\""reference_key\"":\""LO-000204\"",\""insert_date\"":\""2025-06-17T15:28:48\"",\""update_date\"":\""2025-06-17T16:43:22\"",\""update_by\"":\""Paul Collins\"",\""event_type\"":\""Lease Order\"",\""status\"":\""creating\"",\""casino_name\"":\""Thunderbird Casino: Shawnee\"",\""casino_id\"":\""CT-038\"",\""employee_full_name\"":\""Chad Flowers\"",\""employee_id\"":\""EMP-000005\""}""}"
"64AAFD4E-3C76-4386-84B0-5BCAE5757CE3","41","LT-000000041","2025-06-18 14:36:48.980","Paul Collins","vendors","C534F620-353D-4613-A2BE-4A162E454889","{""before_values"":""{\""uuid\"":\""C534F620-353D-4613-A2BE-4A162E454889\"",\""index_key\"":23,\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""vendor_name\"":\""SpinTec\""}"",""after_values"":""{\""uuid\"":\""C534F620-353D-4613-A2BE-4A162E454889\"",\""index_key\"":23,\""reference_key\"":\""VT-023\"",\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-18 14:36:48\"",\""vendor_name\"":\""SpinTec\""}""}"
"7F091CB6-C99F-4549-AB75-94CE92747587","42","LT-000000042","2025-06-18 14:36:48.980","Paul Collins","vendors","F6EED6D3-3CD2-4358-9C67-83C172E4A10A","{""before_values"":""{\""uuid\"":\""F6EED6D3-3CD2-4358-9C67-83C172E4A10A\"",\""index_key\"":22,\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""vendor_name\"":\""Everi\""}"",""after_values"":""{\""uuid\"":\""F6EED6D3-3CD2-4358-9C67-83C172E4A10A\"",\""index_key\"":22,\""reference_key\"":\""VT-022\"",\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-18 14:36:48\"",\""vendor_name\"":\""Everi\""}""}"
"F7497FE1-C3A4-49CB-B840-5E2C36DAEB09","58370","LT-000058370","2025-07-22 19:46:34.230","System","states","929FBCBE-D87C-4D3B-8DDF-D0067BCDC9D0","Created on 2025-07-22 19:46:34"
"8EA32143-5D24-4D46-A7D2-EB6C6D7B5CCA","43","LT-000000043","2025-06-18 14:36:48.980","Paul Collins","vendors","3B2E1A95-6847-4779-9862-17BE30E0B088","{""before_values"":""{\""uuid\"":\""3B2E1A95-6847-4779-9862-17BE30E0B088\"",\""index_key\"":21,\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""vendor_name\"":\""Eclipse\""}"",""after_values"":""{\""uuid\"":\""3B2E1A95-6847-4779-9862-17BE30E0B088\"",\""index_key\"":21,\""reference_key\"":\""VT-021\"",\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-18 14:36:48\"",\""vendor_name\"":\""Eclipse\""}""}"
"FB8A4C13-9ADF-4122-BFC8-67640504DFAA","44","LT-000000044","2025-06-18 14:36:48.980","Paul Collins","vendors","0F8DB302-F1F5-4961-ACD8-DC375C2CAD8D","{""before_values"":""{\""uuid\"":\""0F8DB302-F1F5-4961-ACD8-DC375C2CAD8D\"",\""index_key\"":20,\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""vendor_name\"":\""Synergy Blue\""}"",""after_values"":""{\""uuid\"":\""0F8DB302-F1F5-4961-ACD8-DC375C2CAD8D\"",\""index_key\"":20,\""reference_key\"":\""VT-020\"",\""insert_date\"":\""2025-06-18T14:36:48.957\"",\""update_date\"":\""2025-06-18T14:36:48.957\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-18 14:36:48\"",\""vendor_name\"":\""Synergy Blue\""}""}"
